meanValue,medianValue,standardDeviation,meanAbsoluteDeviation,quantile25,quantile75,signalIQR,sampleSkewness,sampleKurtosis,spectralEntropy,dominantFrequencyValue,dominantFrequencyMagnitude,dominantFrequencyRatio,Error1,Error2,Error3,Error4
0.023374696,0.023369888,0.00013407,0.000116815,0.023260923,0.023489185,0.000228262,0.055429926,1.79966013,-0.272080829,0,0.656373941,0.998624671,1,0,0,0
0.023377555,0.023375158,0.000134484,0.000117223,0.023264062,0.023491862,0.0002278,0.030740174,1.78738589,-0.272059496,0,0.656373855,0.998622773,1,0,0,0
0.023375774,0.02337137,0.000134672,0.000117263,0.023260673,0.023490394,0.000229721,0.05032258,1.79511967,-0.272078562,0,0.656373812,0.998630841,1,0,0,0
0.023374915,0.023370882,0.00013577,0.000118534,0.023258004,0.023490358,0.000232355,0.065308938,1.780350832,-0.272079856,0,0.656373573,0.99863746,1,0,0,0
0.023375995,0.02337557,0.000137092,0.000119992,0.023257189,0.023492517,0.000235328,0.055074666,1.758448349,-0.272058604,0,0.656373284,0.998617235,1,0,0,0
0.023377602,0.023382062,0.000136467,0.000119423,0.023259928,0.023492571,0.000232642,0.027831218,1.760023795,-0.272047057,0,0.656373423,0.998612252,1,0,0,0
0.023379221,0.023383169,0.000136084,0.000118905,0.023260673,0.023493221,0.000232548,0.012566337,1.763360483,-0.272055167,0,0.656373508,0.99863459,1,0,0,0
0.023380925,0.023385234,0.000136166,0.000118904,0.02326431,0.023496183,0.000231873,-0.002040134,1.765768764,-0.272046212,0,0.656373494,0.998615261,1,0,0,0
0.023379221,0.023383365,0.000136721,0.000119276,0.02325835,0.023493087,0.000234737,0.000811222,1.768077845,-0.272065118,0,0.65637337,0.998615548,1,0,0,0
0.016016707,0.016015183,6.48E-05,5.54E-05,0.015959169,0.016068287,0.000109118,0.050763024,1.868598944,-0.272073082,0,0.65638123,0.998634196,1,0,0,0
0.016015658,0.016013749,6.52E-05,5.61E-05,0.015957588,0.016068979,0.000111391,0.067892895,1.837735012,-0.27208178,0,0.656381129,0.998635639,1,0,0,0
