Time,outerFrame1.frame_a.r_0[1],outerFrame1.frame_a.r_0[2],outerFrame1.frame_a.r_0[3],"outerFrame1.frame_a.R.T[1, 1]","outerFrame1.frame_a.R.T[1, 2]","outerFrame1.frame_a.R.T[1, 3]","outerFrame1.frame_a.R.T[2, 1]","outerFrame1.frame_a.R.T[2, 2]","outerFrame1.frame_a.R.T[2, 3]","outerFrame1.frame_a.R.T[3, 1]","outerFrame1.frame_a.R.T[3, 2]","outerFrame1.frame_a.R.T[3, 3]",Revolute1.frame_a.r_0[1],Revolute1.frame_a.r_0[2],Revolute1.frame_a.r_0[3],"Revolute1.frame_a.R.T[1, 1]","Revolute1.frame_a.R.T[1, 2]","Revolute1.frame_a.R.T[1, 3]","Revolute1.frame_a.R.T[2, 1]","Revolute1.frame_a.R.T[2, 2]","Revolute1.frame_a.R.T[2, 3]","Revolute1.frame_a.R.T[3, 1]","Revolute1.frame_a.R.T[3, 2]","Revolute1.frame_a.R.T[3, 3]",innerFrame1.frame_a.r_0[1],innerFrame1.frame_a.r_0[2],innerFrame1.frame_a.r_0[3],"innerFrame1.frame_a.R.T[1, 1]","innerFrame1.frame_a.R.T[1, 2]","innerFrame1.frame_a.R.T[1, 3]","innerFrame1.frame_a.R.T[2, 1]","innerFrame1.frame_a.R.T[2, 2]","innerFrame1.frame_a.R.T[2, 3]","innerFrame1.frame_a.R.T[3, 1]","innerFrame1.frame_a.R.T[3, 2]","innerFrame1.frame_a.R.T[3, 3]",Revolute2.frame_a.r_0[1],Revolute2.frame_a.r_0[2],Revolute2.frame_a.r_0[3],"Revolute2.frame_a.R.T[1, 1]","Revolute2.frame_a.R.T[1, 2]","Revolute2.frame_a.R.T[1, 3]","Revolute2.frame_a.R.T[2, 1]","Revolute2.frame_a.R.T[2, 2]","Revolute2.frame_a.R.T[2, 3]","Revolute2.frame_a.R.T[3, 1]","Revolute2.frame_a.R.T[3, 2]","Revolute2.frame_a.R.T[3, 3]",innerRotor1.frame_a.r_0[1],innerRotor1.frame_a.r_0[2],innerRotor1.frame_a.r_0[3],"innerRotor1.frame_a.R.T[1, 1]","innerRotor1.frame_a.R.T[1, 2]","innerRotor1.frame_a.R.T[1, 3]","innerRotor1.frame_a.R.T[2, 1]","innerRotor1.frame_a.R.T[2, 2]","innerRotor1.frame_a.R.T[2, 3]","innerRotor1.frame_a.R.T[3, 1]","innerRotor1.frame_a.R.T[3, 2]","innerRotor1.frame_a.R.T[3, 3]"
2,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999398127,-0.034689814,0,0.034689814,0.999398127,0,0.000693796,0.019987963,1,0,0,0,0.999398127,-0.034689814,0,0.034689814,0.999398127,0,0.000693796,0.019987963,-0.628162053,0.777614231,-0.026991539,-0.778082538,-0.627783979,0.021790825,0,0.034689814,0.999398127
2.1,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999335421,-0.036451551,0,0.036451551,0.999335421,0,0.000729031,0.019986708,1,0,0,0,0.999335421,-0.036451551,0,0.036451551,0.999335421,0,0.000729031,0.019986708,-0.789280723,0.613624452,-0.022382438,-0.614032524,-0.788756183,0.028770507,0,0.036451551,0.999335421
2.2,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999270935,-0.038178499,0,0.038178499,0.999270935,0,0.00076357,0.019985419,1,0,0,0,0.999270935,-0.038178499,0,0.038178499,0.999270935,0,0.00076357,0.019985419,-0.913956991,0.4055152,-0.015493257,-0.405811063,-0.913290657,0.034893506,0,0.038178499,0.999270935
2.3,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999203057,-0.039915558,0,0.039915558,0.999203057,0,0.000798311,0.019984061,1,0,0,0,0.999203057,-0.039915558,0,0.039915558,0.999203057,0,0.000798311,0.019984061,-0.986227878,0.165260368,-0.006601721,-0.165392176,-0.985441911,0.039365836,0,0.039915558,0.999203057
2.4,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999131585,-0.041666254,0,0.041666254,0.999131585,0,0.000833325,0.019982632,1,0,0,0,0.999131585,-0.041666254,0,0.041666254,0.999131585,0,0.000833325,0.019982632,-0.995289279,-0.096865541,0.004039532,0.096949734,-0.994424955,0.041469976,0,0.041666254,0.999131585
2.5,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999058478,-0.043383836,0,0.043383836,0.999058478,0,0.000867677,0.01998117,1,0,0,0,0.999058478,-0.043383836,0,0.043383836,0.999058478,0,0.000867677,0.01998117,-0.930910563,-0.36490332,0.015845825,0.365247208,-0.930034091,0.040386471,0,0.043383836,0.999058478
2.6,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.99898173,-0.045116561,0,0.045116561,0.99898173,0,0.000902331,0.019979635,1,0,0,0,0.99898173,-0.045116561,0,0.045116561,0.99898173,0,0.000902331,0.019979635,-0.790497405,-0.611841734,0.027632332,0.612465389,-0.789692465,0.035664525,0,0.045116561,0.99898173
2.7,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.998900942,-0.046871186,0,0.046871186,0.998900942,0,0.000937424,0.019978019,1,0,0,0,0.998900942,-0.046871186,0,0.046871186,0.998900942,0,0.000937424,0.019978019,-0.575857775,-0.816651356,0.038319533,0.81754989,-0.575224874,0.026991137,0,0.046871186,0.998900942
2.8,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.998817279,-0.04862142,0,0.04862142,0.998817279,0,0.000972428,0.019976346,1,0,0,0,0.998817279,-0.04862142,0,0.04862142,0.998817279,0,0.000972428,0.019976346,-0.299460481,-0.952980261,0.04639012,0.954108705,-0.299106303,0.014560194,0,0.04862142,0.998817279
2.9,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.998731451,-0.050353637,0,0.050353637,0.998731451,0,0.001007073,0.019974629,1,0,0,0,0.998731451,-0.050353637,0,0.050353637,0.998731451,0,0.001007073,0.019974629,0.014669201,-0.998623989,0.050348219,0.999892401,0.014650592,-0.000738648,0,0.050353637,0.998731451
